_id,COUNTY,YEARS,STRATA,AGE GROUP,CURRENT PREVALENCE,95% CONFIDENCE INTERVAL,COUNTIES GROUPED,COMMENT
37,San Bernardino,2015–2016,Total population,All ages,10.6,(7.5–13.8),,
38,San Diego,2015–2016,Total population,All ages,7.1,(5.5–8.7),,
39,San Francisco,2015–2016,Total population,All ages,7.7,(3.8–11.5),,
40,San Joaquin,2015–2016,Total population,All ages,7.5,(2.8–12.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
41,San Luis Obispo,2015–2016,Total population,All ages,5.9,(1.5–10.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
42,San Mateo,2015–2016,Total population,All ages,11.4,(6.5–16.4),,
43,Santa Barbara,2015–2016,Total population,All ages,6.2,(1.1–11.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
44,Santa Clara,2015–2016,Total population,All ages,6,(3.9–8.0),,
45,Santa Cruz,2015–2016,Total population,All ages,11.3,(6.0–16.6),,
46,Shasta,2015–2016,Total population,All ages,7.3,(3.1–11.6),,
47,Sierra,2015–2016,Total population,All ages,7.2,(1.2–13.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
48,Siskiyou,2015–2016,Total population,All ages,7.2,(1.2–13.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
49,Solano,2015–2016,Total population,All ages,13.3,(5.9–20.6),,
50,Sonoma,2015–2016,Total population,All ages,8.1,(4.5–11.6),,
51,Stanislaus,2015–2016,Total population,All ages,13.4,(7.5–19.2),,
52,Sutter,2015–2016,Total population,All ages,8.1,(2.9–13.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
53,Tehama,2015–2016,Total population,All ages,7.3,(2.7–12.0),"Colusa, Glenn, and Tehama counties combined combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
54,Trinity,2015–2016,Total population,All ages,7.2,(1.2–13.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
55,Tulare,2015–2016,Total population,All ages,8.6,(4.3–12.9),,
56,Tuolumne,2015–2016,Total population,All ages,9.3,(4.1–14.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
57,Ventura,2015–2016,Total population,All ages,6.7,(3.3–10.0),,
58,Yolo,2015–2016,Total population,All ages,6.6,(1.3–11.9),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
59,Yuba,2015–2016,Total population,All ages,14.8,(9.0–20.5),,
60,California,2015–2016,Child vs. adult,0–17 years,10.1,(8.3–11.9),,
61,Alameda,2015–2016,Child vs. adult,0–17 years,15.1,(3.9–26.4),,
62,Alpine,2015–2016,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
63,Amador,2015–2016,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
64,Butte,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
65,Calaveras,2015–2016,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
66,Colusa,2015–2016,Child vs. adult,0–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
67,Contra Costa,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
68,Del Norte,2015–2016,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
69,El Dorado,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
70,Fresno,2015–2016,Child vs. adult,0–17 years,10.7,(0.5–20.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
71,Glenn,2015–2016,Child vs. adult,0–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
72,Humboldt,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
73,Imperial,2015–2016,Child vs. adult,0–17 years,19.1,(5.6–32.5),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
74,Inyo,2015–2016,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
75,Kern,2015–2016,Child vs. adult,0–17 years,26,(10.8–41.1),,
76,Kings,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
77,Lake,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
78,Lassen,2015–2016,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
79,Los Angeles,2015–2016,Child vs. adult,0–17 years,10.1,(6.0–14.2),,
80,Madera,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
81,Marin,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
82,Mariposa,2015–2016,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
83,Mendocino,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
84,Merced,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
85,Modoc,2015–2016,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
86,Mono,2015–2016,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
87,Monterey,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
88,Napa,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
89,Nevada,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
90,Orange,2015–2016,Child vs. adult,0–17 years,8,(2.4–13.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
91,Placer,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
92,Plumas,2015–2016,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
93,Riverside,2015–2016,Child vs. adult,0–17 years,14.8,(3.1–26.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
94,Sacramento,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
95,San Benito,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
96,San Bernardino,2015–2016,Child vs. adult,0–17 years,11.8,(2.1–21.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
97,San Diego,2015–2016,Child vs. adult,0–17 years,6.6,(2.4–10.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
98,San Francisco,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
99,San Joaquin,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
100,San Luis Obispo,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
101,San Mateo,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
102,Santa Barbara,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
103,Santa Clara,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
104,Santa Cruz,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
105,Shasta,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
106,Sierra,2015–2016,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
107,Siskiyou,2015–2016,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
108,Solano,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
109,Sonoma,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
110,Stanislaus,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
111,Sutter,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
112,Tehama,2015–2016,Child vs. adult,0–17 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
113,Trinity,2015–2016,Child vs. adult,0–17 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
114,Tulare,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
115,Tuolumne,2015–2016,Child vs. adult,0–17 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
116,Ventura,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
117,Yolo,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
118,Yuba,2015–2016,Child vs. adult,0–17 years,,,,Prevalence not available due to unreliable estimate
119,California,2015–2016,Child vs. adult,18+ years,8.3,(7.6–9.0),,
120,Alameda,2015–2016,Child vs. adult,18+ years,7.3,(4.0–10.7),,
121,Alpine,2015–2016,Child vs. adult,18+ years,10.1,(4.7–15.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
122,Amador,2015–2016,Child vs. adult,18+ years,10.1,(4.7–15.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
123,Butte,2015–2016,Child vs. adult,18+ years,10.6,(0.9–17.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
124,Calaveras,2015–2016,Child vs. adult,18+ years,10.1,(4.7–15.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
125,Colusa,2015–2016,Child vs. adult,18+ years,8.1,(2.6–13.7),"Colusa, Glenn, and Tehama counties combined combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
126,Contra Costa,2015–2016,Child vs. adult,18+ years,9.2,(4.2–15.8),,
127,Del Norte,2015–2016,Child vs. adult,18+ years,10,(2.4–17.6),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
128,El Dorado,2015–2016,Child vs. adult,18+ years,12.5,(2.0–23.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
129,Fresno,2015–2016,Child vs. adult,18+ years,11.5,(6.1–16.9),,
130,Glenn,2015–2016,Child vs. adult,18+ years,8.1,(2.6–13.7),"Colusa, Glenn, and Tehama counties combined combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
131,Humboldt,2015–2016,Child vs. adult,18+ years,12,(2.4–21.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
132,Imperial,2015–2016,Child vs. adult,18+ years,8.9,(4.7–13.1),,
133,Inyo,2015–2016,Child vs. adult,18+ years,10.1,(4.7–15.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
134,Kern,2015–2016,Child vs. adult,18+ years,12.3,(6.4–18.1),,
135,Kings,2015–2016,Child vs. adult,18+ years,15.8,(6.7–24.9),,
136,Lake,2015–2016,Child vs. adult,18+ years,19.1,(9.6–28.7),,
137,Lassen,2015–2016,Child vs. adult,18+ years,10,(2.4–17.6),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
138,Los Angeles,2015–2016,Child vs. adult,18+ years,7.1,(6.0–8.2),,
139,Madera,2015–2016,Child vs. adult,18+ years,9.9,(4.0–15.7),,
140,Marin,2015–2016,Child vs. adult,18+ years,7.4,(4.6–10.1),,
141,Mariposa,2015–2016,Child vs. adult,18+ years,10.1,(4.7–15.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
142,Mendocino,2015–2016,Child vs. adult,18+ years,8.6,(3.9–13.3),,
143,Merced,2015–2016,Child vs. adult,18+ years,11.7,(3.8–19.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
144,Modoc,2015–2016,Child vs. adult,18+ years,10,(2.4–17.6),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
145,Mono,2015–2016,Child vs. adult,18+ years,10.1,(4.7–15.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
146,Monterey,2015–2016,Child vs. adult,18+ years,8.5,(3.0–14.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
147,Napa,2015–2016,Child vs. adult,18+ years,9.6,(3.3–15.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
148,Nevada,2015–2016,Child vs. adult,18+ years,7.2,(2.3–12.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
149,Orange,2015–2016,Child vs. adult,18+ years,6.4,(3.6–9.1),,
150,Placer,2015–2016,Child vs. adult,18+ years,8.5,(4.1–12.9),,
151,Plumas,2015–2016,Child vs. adult,18+ years,10,(2.4–17.6),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
152,Riverside,2015–2016,Child vs. adult,18+ years,8.5,(5.7–11.2),,
153,Sacramento,2015–2016,Child vs. adult,18+ years,10.4,(7.1–13.7),,
154,San Benito,2015–2016,Child vs. adult,18+ years,6.5,(1.0–12.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
155,San Bernardino,2015–2016,Child vs. adult,18+ years,10.2,(7.0–13.4),,
156,San Diego,2015–2016,Child vs. adult,18+ years,7.3,(5.5–9.1),,
157,San Francisco,2015–2016,Child vs. adult,18+ years,9.1,(4.5–13.7),,
158,San Joaquin,2015–2016,Child vs. adult,18+ years,8.5,(3.3–13.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
159,San Luis Obispo,2015–2016,Child vs. adult,18+ years,6.9,(2.5–11.4),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
160,San Mateo,2015–2016,Child vs. adult,18+ years,10.9,(6.3–15.6),,
161,Santa Barbara,2015–2016,Child vs. adult,18+ years,3.7,(1.4–6.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
162,Santa Clara,2015–2016,Child vs. adult,18+ years,6.2,(3.9–8.6),,
163,Santa Cruz,2015–2016,Child vs. adult,18+ years,10.4,(6.1–14.6),,
164,Shasta,2015–2016,Child vs. adult,18+ years,9,(3.8–14.2),,
165,Sierra,2015–2016,Child vs. adult,18+ years,10,(2.4–17.6),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
166,Siskiyou,2015–2016,Child vs. adult,18+ years,10,(2.4–17.6),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
167,Solano,2015–2016,Child vs. adult,18+ years,16.4,(7.4–25.4),,
168,Sonoma,2015–2016,Child vs. adult,18+ years,8.6,(3.5–13.6),,
169,Stanislaus,2015–2016,Child vs. adult,18+ years,12.9,(7.8–18.0),,
170,Sutter,2015–2016,Child vs. adult,18+ years,7.9,(4.1–11.8),,
171,Tehama,2015–2016,Child vs. adult,18+ years,8.1,(2.6–13.7),"Colusa, Glenn, and Tehama counties combined combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
172,Trinity,2015–2016,Child vs. adult,18+ years,10,(2.4–17.6),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
173,Tulare,2015–2016,Child vs. adult,18+ years,12.5,(6.2–18.8),,
174,Tuolumne,2015–2016,Child vs. adult,18+ years,10.1,(4.7–15.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",
175,Ventura,2015–2016,Child vs. adult,18+ years,7.5,(3.7–11.3),,
176,Yolo,2015–2016,Child vs. adult,18+ years,7.8,(0.5–15.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.
177,Yuba,2015–2016,Child vs. adult,18+ years,15.3,(8.6–22.0),,
178,California,2015–2016,Age groups,0–4 years,4.5,(2.5–6.4),,
179,Alameda,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
180,Alpine,2015–2016,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
181,Amador,2015–2016,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
182,Butte,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
183,Calaveras,2015–2016,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
184,Colusa,2015–2016,Age groups,0–4 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
185,Contra Costa,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
186,Del Norte,2015–2016,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
187,El Dorado,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
188,Fresno,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
189,Glenn,2015–2016,Age groups,0–4 years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate
190,Humboldt,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
191,Imperial,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
192,Inyo,2015–2016,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
193,Kern,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
194,Kings,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
195,Lake,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
196,Lassen,2015–2016,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
197,Los Angeles,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
198,Madera,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
199,Marin,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
200,Mariposa,2015–2016,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
201,Mendocino,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
202,Merced,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
203,Modoc,2015–2016,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
204,Mono,2015–2016,Age groups,0–4 years,,,"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Prevalence not available due to unreliable estimate
205,Monterey,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
206,Napa,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
207,Nevada,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
208,Orange,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
209,Placer,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
210,Plumas,2015–2016,Age groups,0–4 years,,,"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Prevalence not available due to unreliable estimate
211,Riverside,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
212,Sacramento,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
213,San Benito,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
214,San Bernardino,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
215,San Diego,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
216,San Francisco,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
217,San Joaquin,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
218,San Luis Obispo,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
219,San Mateo,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
220,Santa Barbara,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
221,Santa Clara,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
222,Santa Cruz,2015–2016,Age groups,0–4 years,,,,Prevalence not available due to unreliable estimate
